Iteration,Time,p0_x,p0_y,p0_z,p0_vx,p0_vy,p0_vz,p0_fx,p0_fy,p0_fz
0,0,16,16,16,-0.001,0,0,0.402443796305214,0,0
1,1,16.001,16,16,0.001,0,0,-0.71701888532382,1.07789243877295e-16,4.33318878876281e-15
2,2,16.0039990131207,16,16,0.00299901312073146,0,0,-0.890799778564727,1.63646810408156e-15,-2.55551706306084e-16
3,3,16.0089940796983,16,16,0.00499506657758801,0,0,-1.10458687523476,1.25837390459982e-15,1.24898396204436e-15
4,4,16.0159802702051,16,16,0.00698619050679417,0,0,-1.20898522053345,-9.89664401725978e-16,8.18039009469786e-17
5,5,16.0249506901145,16,16,0.00897041990942312,0,0,-1.31734017853729,6.3250914786794e-17,-1.85440076109437e-16
6,6,16.0358964867052,16,16,0.0109457965906134,0,0,-1.41552986075135,-7.77124565260324e-16,-6.59609967015341e-16
7,7,16.0488068577972,16,16,0.0129103710920708,0,0,-1.52266505478215,-1.11542041878951e-15,-1.70550083929653e-16
8,8,16.0636690624132,16,16,0.0148622046159483,0,0,-1.62191218413608,-6.15183512448327e-16,1.07242841451867e-15
9,9,16.0804684333514,16,16,0.0167993709382055,0,0,-1.71720581743085,-1.03465032155465e-15,1.31885062766568e-15
10,10,16.0991883916609,16,16,0.0187199583095594,0,0,-1.79557818664163,-1.42228690305259e-16,-4.18102239028301e-16
11,11,16.1198104630031,16,16,0.0206220713421497,0,0,-1.85935318670478,3.33307464744567e-17,-4.1324365804285e-16
12,12,16.1423142958831,16,16,0.0225038328800582,0,0,-1.91256301568276,-3.65996160245005e-16,-1.87648291002929e-16
13,13,16.166677681735,16,16,0.0243633858518347,0,0,-1.95568207015193,4.5598239946246e-16,3.999011950577e-16
14,14,16.1928765768382,16,16,0.0261988951032026,0,0,-1.98822127700212,-1.02414753652517e-16,-1.28956361648142e-15
15,15,16.2208851260463,16,16,0.0280085492081347,0,0,-2.00829792132136,1.63902569359602e-16,-9.33172809858274e-16
16,16,16.2506756883028,16,16,0.0297905622565114,0,0,-2.02469936693996,1.84877985045639e-15,-1.01447442026753e-16
17,17,16.2822188639194,16,16,0.0315431756165991,0,0,-2.02207920333055,2.13296618052378e-15,1.50568576703924e-16
18,18,16.31548352359,16,16,0.033264659670607,0,0,-2.01556781337462,7.23782877165222e-16,-3.19141685734686e-16
19,19,16.3504368391116,16,16,0.0349533155216111,0,0,-2.00296346173504,6.68688466144013e-16,-5.01585806309685e-16
20,20,16.3870443157818,16,16,0.0366074766701602,0,0,-1.99304792568901,-6.61556448728132e-16,2.59632538992388e-16
21,21,16.4252698264407,16,16,0.0382255106589101,0,0,-1.98484550728849,1.58425654322655e-16,-5.53803693442018e-16
22,22,16.4650756471244,16,16,0.0398058206836615,0,0,-1.97285721818421,1.43659498359761e-15,-3.93978740690498e-16
23,23,16.5064224942936,16,16,0.041346847169213,0,0,-1.95659417836545,6.46614787538566e-16,-1.23285984286042e-15
24,24,16.5492695636021,16,16,0.042847069308474,0,0,-1.94503892254455,-9.55236324068354e-16,3.51715184754298e-16
25,25,16.5935745701654,16,16,0.0443050065633168,0,0,-1.92792078844706,4.76550900520636e-16,-9.8320874011848e-16
26,26,16.6392937902911,16,16,0.0457192201256899,0,0,-1.90970718572103,1.49549426661788e-15,-2.33477347427302e-15
27,27,16.6863821046286,16,16,0.0470883143375473,0,0,-1.89848900687386,5.84637386787969e-16,-1.75185048217029e-15
28,28,16.7347930426968,16,16,0.0484109380681946,0,0,-1.88645679643658,-3.24361102755667e-16,-2.04941315654072e-16
29,29,16.7844788287445,16,16,0.0496857860476919,0,0,-1.86187990590529,-8.4749881537529e-16,-4.86935524453974e-16
30,30,16.8353904288995,16,16,0.0509116001549979,0,0,-1.81893101791451,-1.42564962385319e-15,9.94457337658017e-16
31,31,16.8874775995591,16,16,0.0520871706595828,0,0,-1.76100163662786,-1.47011038325456e-17,4.20331629745474e-16
32,32,16.9406889369744,16,16,0.0532113374152871,0,0,-1.68865571270596,-1.00421854534218e-15,9.50574254726666e-17
33,33,16.9949719279796,16,16,0.0542829910052451,0,0,-1.63844058546843,-1.45354241880627e-15,5.32980235466718e-16
34,34,17.0502730018164,16,16,0.0553010738367458,0,0,-1.61846939278516,-5.67203754667581e-16,2.27719048045277e-15
35,35,17.1065375830013,16,16,0.0562645811849493,0,0,-1.61282195731843,6.33390909166032e-16,-7.39236146254929e-16
36,36,17.1637101451857,16,16,0.0571725621844284,0,0,-1.58169204742107,3.01814779765652e-16,9.19132391724586e-16
37,37,17.2217342659533,16,16,0.0580241207675585,0,0,-1.51725409198231,-2.03772410186862e-16,1.00123360123605e-15
